1	0000000000000000	2	0	-----------#	-----------#	-----------#	-----------#
2	01001	2	0	-----------#	-----------#	-----------#	-----------#
3	01001	2	0	-----------#	-----------#	-----------#	-----------#
4	01001	2	0	-----------#	-----------#	-----------#	-----------#
5	01001	2	1	-----------#	-----------#	-----------#	-----------#
6	01001	2	1	-----------#	-----------#	-----------#	-----------#
7	01001	2	2	-----------#	-----------#	-----------#	-----------#
8	01001	3	3	-----------#	-----------#	-----------#	-----------#
9	01001	3	3	-----------#	-----------#	-----------#	-----------#
10	01001	4	4	-----------#	-----------#	-----------#	-----------#
11	01001	4	5	-----------#	-----------#	-----------#	-----------#
12	01001	5	6	-----------#	-----------#	-----------#	-----------#
13	01001	5	7	-----------#	-----------#	-----------#	-----------#
14	01001	6	8	-----------#	-----------#	-----------#	-----------#
15	01001	6	10	-----------#	-----------#	-----------#	-----------#
16	01001	7	10	-----------#	-----------#	-----------#	-----------#
17	01001	7	10	-----------#	-----------#	-----------#	-----------#
18	01001	8	10	-----------#	-----------#	-----------#	-----------#
19	01001	8	10	-----------#	-----------#	-----------#	-----------#
20	01001	9	10	-----------#	-----------#	-----------#	-----------#
21	01001	10	10	-----------#	-----------#	-----------#	---#####---#
22	01011	10	10	-----------#	-----------#	-----------#	---#####---#
23	01011	11	10	-----------#	-----------#	---#####---#	---?---?---#
24	01001	11	9	-----------#	-----------#	---#####---#	---?---?---#
25	01001	12	9	-----------#	---#####---#	---?---?---#	---?---?---#
26	01001	13	10	---#####---#	---?---?---#	---?---?---#	---?---?---#
27	01001	13	10	---#####---#	---?---?---#	---?---?---#	---?---?---#
28	01001	14	10	---?---?---#	---?---?---#	---?---?---#	---?---?---#
29	01001	15	10	---?---?---#	---?---?---#	---?---?---#	---?--##---#
30	01011	15	10	---?---?---#	---?---?---#	---?---?---#	---?--##---#
31	01011	16	10	---?---?---#	---?---?---#	---?--##---#	-----------#
32	01001	17	9	---?---?---#	---?--##---#	-----------#	-----------#
33	01001	17	9	---?---?---#	---?--##---#	-----------#	-----------#
34	01001	18	10	---?--##---#	-----------#	-----------#	-----------#
35	01001	19	10	-----------#	-----------#	-----------#	-------?---#
36	01001	19	10	-----------#	-----------#	-----------#	-------?---#
37	01001	20	10	-----------#	-----------#	-------?---#	-------?---#
38	01011	21	10	-----------#	-------?---#	-------?---#	-------?---#
39	01011	21	10	-----------#	-------?---#	-------?---#	-------?---#
40	01001	22	9	-------?---#	-------?---#	-------#---#	-------?---#
41	01001	23	9	-------?---#	-------#---#	-------?---#	-------?---#
42	01001	23	10	-------?---#	-------#---#	-------?---#	-------?---#
43	01001	24	10	-------#---#	-------?---#	-------?---#	-----------#
44	01001	25	10	-------?---#	-------?---#	-----------#	-----------#
45	01001	25	10	-------?---#	-------?---#	-----------#	-----------#
46	01011	26	10	-------?---#	-----------#	-----------#	-----------#
47	01011	27	10	-----------#	-----------#	-----------#	-----------#
48	01011	27	9	-----------#	-----------#	-----------#	-----------#
49	01011	28	8	-----------#	-----------#	-----------#	-----------#
50	01011	29	7	-----------#	-----------#	-----------#	-----------#
51	01011	29	7	-----------#	-----------#	-----------#	-----------#
52	01011	30	7	-----------#	-----------#	-----------#	-----------#
53	01011	31	6	-----------#	-----------#	-----------#	-----------#
54	01001	31	6	-----------#	-----------#	-----------#	-----------#
55	01001	32	6	-----------#	-----------#	-----------#	-------###-#
56	01001	33	6	-----------#	-----------#	-------###-#	-------###-#
57	01001	33	6	-----------#	-----------#	-------###-#	-------###-#
58	01011	34	6	-----------#	-------###-#	-------###-#	-----------#
59	01011	35	6	-------###-#	-------###-#	-----------#	-----------#
60	01011	36	5	-------###-#	-----------#	-----------#	------?----#
61	01011	36	4	-------###-#	-----------#	-----------#	------?----#
62	01011	37	3	-----------#	-----------#	------?----#	-----------#
63	01011	38	3	-----------#	------?----#	-----------#	-----------#
64	01011	38	3	-----------#	------?----#	-----------#	-----------#
65	01011	39	2	------?----#	-----------#	-----------#	-----------#
66	01001	40	2	-----------#	-----------#	-----------#	-----------#
67	01001	40	2	-----------#	-----------#	-----------#	-----------#
68	10001	41	3	-----------#	-----------#	-----------#	-----------#
69	10001	42	3	-----------#	-----------#	-----------#	-----------#
70	01001	42	4	-----------#	-----------#	-----------#	-----------#
71	01001	42	4	-----------#	-----------#	-----------#	-----------#
72	01001	43	5	-----------#	-----------#	-----------#	-----------#
73	01001	43	6	-----------#	-----------#	-----------#	-----------#
74	01000	44	7	-----------#	-----------#	-----------#	-----------#
75	01000	44	8	-----------#	-----------#	-----------#	-----------#
76	01001	45	9	-----------#	-----------#	-----------#	-----------#
77	01001	45	10	-----------#	-----------#	-----------#	-----------#
78	01000	46	10	-----------#	-----------#	-----------#	------------
79	01000	46	10	-----------#	-----------#	-----------#	------------
80	01011	47	10	-----------#	-----------#	------------	------------
81	01011	47	10	-----------#	-----------#	------------	------------
82	01011	48	9	-----------#	------------	------------	------------
83	01011	48	8	-----------#	------------	------------	------------
84	01011	49	7	------------	------------	------------	---?-------#
85	01011	49	7	------------	------------	------------	---?-------#
86	01011	50	7	------------	------------	---?-------#	---?-------#
87	01011	51	6	------------	---?-------#	---?-------#	---?---?---#
88	01001	51	6	------------	---?-------#	---?-------#	---?---?---#
89	01001	52	6	---?-------#	---?-------#	---?---?---#	---?---?---#
90	01001	52	6	---?-------#	---?-------#	---?---?---#	---?---?---#
91	01001	53	6	---?-------#	---?---?---#	---?---?---#	---?---?---#
92	01011	54	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
93	01011	54	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
94	01001	55	5	---?---?---#	---?---?---#	---#---?---#	---?---?---#
95	01001	56	5	---?---?---#	---#---?---#	---?---?---#	---?---?---#
96	01001	56	6	---?---?---#	---#---?---#	---?---?---#	---?---?---#
97	01001	57	6	---#---?---#	---?---?---#	---?---?---#	---?---?---#
98	01001	58	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
99	01001	58	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
100	01001	59	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
101	01001	60	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
102	01001	60	6	---?---?---#	---?---?---#	---?---?---#	---?---?---#
103	01001	61	6	---?---?---#	---?---?---#	---?---?---#	---?---?--##
104	01011	62	6	---?---?---#	---?---?---#	---?---?--##	---?-----###
105	01011	62	6	---?---?---#	---?---?---#	---?---?--##	---?-----###
106	01001	63	5	---?---?---#	---?---?--##	---#-----###	--------####
107	01001	64	5	---?---?--##	---#-----###	--------####	-------#####
108	01000	64	6	---?---?--##	---#-----###	--------####	-------#####
109	01000	65	6	---#-----###	--------####	-------#####	-------?---#
110	01001	65	6	---#-----###	--------####	-------#####	-------?---#
111	01001	66	6	--------####	-------#####	-------?---#	---?-------#
112	01011	67	6	-------#####	-------?---#	---?-------#	---?-------#
113	01011	67	6	-------#####	-------?---#	---?-------#	---?-------#
114	01001	68	5	-------?---#	---?-------#	---#-------#	---?-------#
115	01001	69	5	---?-------#	---#-------#	---?-------#	---?--------
116	10000	69	6	---?-------#	---#-------#	---?-------#	---?--------
117	10000	70	6	---#-------#	---?-------#	---?--------	------------
118	01001	70	7	---#-------#	---?-------#	---?--------	------------
119	01001	71	7	---?-------#	---?--------	------------	---?--------
120	01001	71	8	---?-------#	---?--------	------------	---?--------
121	01001	72	9	---?--------	------------	---?--------	---?--------
122	01001	72	10	---?--------	------------	---?--------	---?--------
