1	0000000000000000	2	0	-----------#	-----------#	-----------#	-----------#
2	01001	2	0	-----------#	-----------#	-----------#	-----------#
3	01001	2	0	-----------#	-----------#	-----------#	-----------#
4	01001	2	0	-----------#	-----------#	-----------#	-----------#
5	01001	2	1	-----------#	-----------#	-----------#	-----------#
6	01001	2	1	-----------#	-----------#	-----------#	-----------#
7	01001	2	2	-----------#	-----------#	-----------#	-----------#
8	01001	3	3	-----------#	-----------#	-----------#	-----------#
9	01001	3	3	-----------#	-----------#	-----------#	-----------#
10	01001	4	4	-----------#	-----------#	-----------#	-----------#
11	01001	4	5	-----------#	-----------#	-----------#	-----------#
12	01001	5	6	-----------#	-----------#	-----------#	-----------#
13	01001	5	7	-----------#	-----------#	-----------#	-----------#
14	01001	6	8	-----------#	-----------#	-----------#	-----------#
15	01001	6	10	-----------#	-----------#	-----------#	-----------#
16	01001	7	10	-----------#	-----------#	-----------#	-----------#
17	01001	7	10	-----------#	-----------#	-----------#	-----------#
18	01011	8	10	-----------#	-----------#	-----------#	-----------#
19	01011	8	10	-----------#	-----------#	-----------#	-----------#
20	01011	9	9	-----------#	-----------#	-----------#	-----------#
21	01011	10	8	-----------#	-----------#	-----------#	-----------#
22	01011	10	7	-----------#	-----------#	-----------#	-----------#
23	01011	11	7	-----------#	-----------#	-----------#	-----------#
24	01011	11	7	-----------#	-----------#	-----------#	-----------#
25	01011	12	6	-----------#	-----------#	-----------#	-----------#
26	01001	13	6	-----------#	-----------#	-----------#	--------?--#
27	01001	13	6	-----------#	-----------#	-----------#	--------?--#
28	01001	14	7	-----------#	-----------#	--------?--#	-----------#
29	01001	15	7	-----------#	--------?--#	-----------#	-----------#
30	01001	15	8	-----------#	--------?--#	-----------#	-----------#
31	01001	16	8	--------?--#	-----------#	-----------#	-----------#
32	01001	17	9	-----------#	-----------#	-----------#	-----------#
33	01001	17	10	-----------#	-----------#	-----------#	-----------#
34	01001	18	10	-----------#	-----------#	-----------#	-----------#
35	01001	19	10	-----------#	-----------#	-----------#	-----------#
36	01011	19	10	-----------#	-----------#	-----------#	-----------#
37	01011	20	10	-----------#	-----------#	-----------#	-----------#
38	01011	21	9	-----------#	-----------#	-----------#	-----------#
39	01011	21	8	-----------#	-----------#	-----------#	-----------#
40	01011	22	7	-----------#	-----------#	-----------#	--------?--#
41	01011	23	7	-----------#	-----------#	--------?--#	--------?--#
42	01011	23	7	-----------#	-----------#	--------?--#	--------?--#
43	01011	24	6	-----------#	--------?--#	--------?--#	--------?--#
44	01001	25	6	--------?--#	--------?--#	--------?--#	-----------#
45	01001	25	6	--------?--#	--------?--#	--------?--#	-----------#
46	01001	26	7	--------?--#	--------?--#	-----------#	-----------#
47	01001	27	7	--------?--#	-----------#	-----------#	-----------#
48	01001	27	8	--------?--#	-----------#	-----------#	-----------#
49	01001	28	8	-----------#	-----------#	-----------#	-----------#
50	01001	29	9	-----------#	-----------#	-----------#	-----------#
51	01001	29	10	-----------#	-----------#	-----------#	-----------#
52	01001	30	10	-----------#	-----------#	-----------#	-----------#
53	01001	31	10	-----------#	-----------#	-----------#	-----------#
54	01011	31	10	-----------#	-----------#	-----------#	-----------#
55	01011	32	10	-----------#	-----------#	-----------#	-----------#
56	01011	33	9	-----------#	-----------#	-----------#	-----------#
57	01011	33	8	-----------#	-----------#	-----------#	-----------#
58	01011	34	7	-----------#	-----------#	-----------#	-----------#
59	01011	35	7	-----------#	-----------#	-----------#	-----------#
60	01011	36	7	-----------#	-----------#	-----------#	-----------#
61	01011	36	6	-----------#	-----------#	-----------#	-----------#
62	01001	37	6	-----------#	-----------#	-----------#	-----------#
63	01001	38	6	-----------#	-----------#	-----------#	------------
64	01001	38	7	-----------#	-----------#	-----------#	------------
65	01001	39	7	-----------#	-----------#	------------	------------
66	01001	40	8	-----------#	------------	------------	-----------#
67	01001	40	8	-----------#	------------	------------	-----------#
68	01001	41	9	------------	------------	-----------#	-----------#
69	01001	42	10	------------	-----------#	-----------#	-----------#
70	01001	42	10	------------	-----------#	-----------#	-----------#
71	01001	43	10	-----------#	-----------#	-----------#	-----------#
72	01011	44	10	-----------#	-----------#	-----------#	-----------#
73	01011	44	10	-----------#	-----------#	-----------#	-----------#
74	01011	45	9	-----------#	-----------#	-----------#	-----------#
75	01011	46	8	-----------#	-----------#	-----------#	-----------#
76	01011	46	7	-----------#	-----------#	-----------#	-----------#
77	01011	47	7	-----------#	-----------#	-----------#	------------
78	01011	48	7	-----------#	-----------#	------------	------------
79	01011	48	6	-----------#	-----------#	------------	------------
80	01000	49	6	-----------#	------------	------------	-----------#
81	01000	50	6	------------	------------	-----------#	------------
82	01000	50	7	------------	------------	-----------#	------------
83	01000	51	7	------------	-----------#	------------	-----------#
84	01001	52	8	-----------#	------------	-----------#	-----------#
85	01001	52	8	-----------#	------------	-----------#	-----------#
86	10000	53	9	------------	-----------#	-----------#	---?-------#
87	10000	53	10	------------	-----------#	-----------#	---?-------#
88	01001	54	10	-----------#	-----------#	---?-------#	---?-------#
89	01001	54	10	-----------#	-----------#	---?-------#	---?-------#
90	01010	54	10	-----------#	-----------#	---?-------#	---?-------#
91	01010	55	10	-----------#	---?-------#	---?-------#	---?-------#
92	01011	55	9	-----------#	---?-------#	---?-------#	---?-------#
93	01011	56	8	---?-------#	---?-------#	---?-------#	---?----####
94	01011	56	7	---?-------#	---?-------#	---?-------#	---?----####
95	01011	57	7	---?-------#	---?-------#	---?----####	---?-------#
96	01001	57	7	---?-------#	---?-------#	---?----####	---?-------#
97	01001	58	7	---?-------#	---?----####	---?-------#	---?-------#
98	01001	58	7	---?-------#	---?----####	---?-------#	---?-------#
99	01001	59	7	---?----####	---?-------#	---?-------#	---?-------#
100	01000	60	7	---?-------#	---?-------#	---?-------#	---?-------#
101	01000	60	8	---?-------#	---?-------#	---?-------#	---?-------#
102	01001	61	8	---?-------#	---?-------#	---?-------#	---?---?---#
103	01001	61	9	---?-------#	---?-------#	---?-------#	---?---?---#
104	01001	62	10	---?-------#	---?-------#	---?---?---#	---?---?---#
105	01001	62	10	---?-------#	---?-------#	---?---?---#	---?---?---#
106	01011	63	10	---?-------#	---?---?---#	---?---?---#	-------?---#
107	01011	63	10	---?-------#	---?---?---#	---?---?---#	-------?---#
108	01001	64	9	---?---?---#	---?---?---#	-------#---#	-------?---#
109	01001	65	9	---?---?---#	-------#---#	-------?---#	-------?---#
110	01001	65	10	---?---?---#	-------#---#	-------?---#	-------?---#
111	01001	66	10	-------#---#	-------?---#	-------?---#	-------?---#
112	01001	67	10	-------?---#	-------?---#	-------?---#	-------?---#
113	01001	67	10	-------?---#	-------?---#	-------?---#	-------?---#
114	01011	68	10	-------?---#	-------?---#	-------?---#	-------?---#
115	01011	69	10	-------?---#	-------?---#	-------?---#	------##---#
116	01001	69	9	-------?---#	-------?---#	-------#---#	------##---#
117	01001	70	9	-------?---#	-------#---#	------##---#	-----------#
118	01001	70	10	-------?---#	-------#---#	------##---#	-----------#
119	01001	71	10	-------#---#	------##---#	-----------#	-----------#
120	01001	72	10	------##---#	-----------#	-----------#	-----------#
121	01001	72	10	------##---#	-----------#	-----------#	-----------#
122	01011	73	10	-----------#	-----------#	-----------#	-----------#
123	01011	74	10	-----------#	-----------#	-----------#	-----------#
124	01011	74	9	-----------#	-----------#	-----------#	-----------#
125	01011	75	8	-----------#	-----------#	-----------#	-----------#
126	01011	76	7	-----------#	-----------#	-----------#	-----------#
127	01011	77	7	-----------#	-----------#	-----------#	-----------#
